feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,issue_type,resolved,feedback_length,satisfaction_category,cleaning_status
fdbk100049,cust102999,2025-04-14,Quite range through international pick.,4,App_Usability,True,39,High,Cleaned and Validated
fdbk100050,cust103556,2025-03-08,Ready believe finish those go.,5,Transaction,True,30,High,Cleaned and Validated
fdbk100051,cust103862,2024-05-05,Feeling area health government turn.,4,Transaction,False,36,High,Cleaned and Validated
fdbk100052,cust101805,2022-07-18,Relate send may race successful.,5,Transaction,True,32,High,Cleaned and Validated
fdbk100053,cust108242,2024-09-13,We forget man issue pull.,3,Transaction,True,25,Medium,Cleaned and Validated
fdbk100054,cust101072,2021-05-07,Figure test notice tough eight worry subject since far.,4,Other,True,55,High,Cleaned and Validated
fdbk100055,cust105454,2023-08-14,When story tell same fight source throughout maybe speech.,4,Other,True,58,High,Cleaned and Validated
fdbk100056,cust107053,2025-03-11,Sell opportunity step as despite book answer instead choose.,5,Transaction,True,60,High,Cleaned and Validated
fdbk100057,cust105389,2021-10-01,Pretty exactly number seem specific popular fear movie perhaps.,2,Fraud,True,63,Low,Cleaned and Validated
fdbk100058,cust109723,2024-08-17,Small those chance same probably meet fear indicate.,5,Fraud,True,52,High,Cleaned and Validated
fdbk100059,cust109860,2023-12-14,Network daughter war hundred growth research.,3,Fraud,True,45,Medium,Cleaned and Validated
fdbk100060,cust100364,2025-06-12,Few right relationship imagine forward able attorney action indeed win.,2,Fraud,True,71,Low,Cleaned and Validated
fdbk100061,cust101911,2021-12-25,Notice morning east consumer join scene.,4,Other,True,40,High,Cleaned and Validated
fdbk100062,cust108382,2024-05-09,Notice forward our social plan the late a treat against.,5,Fraud,True,56,High,Cleaned and Validated
fdbk100063,cust109435,2022-04-13,Career human how any such.,2,Transaction,False,26,Low,Cleaned and Validated
fdbk100064,cust108771,2025-01-19,Baby network read central tax believe official.,3,App_Usability,True,47,Medium,Cleaned and Validated
fdbk100065,cust106762,2025-07-01,Mention area start dog Democrat sort.,2,Transaction,True,37,Low,Cleaned and Validated
fdbk100066,cust106601,2025-02-04,Management address be why decide there reality.,5,App_Usability,True,47,High,Cleaned and Validated
fdbk100067,cust100038,2025-04-10,Collection month page side because feel parent help join sometimes marriage.,3,App_Usability,True,76,Medium,Cleaned and Validated
fdbk100068,cust106307,2024-07-06,Item scene training be offer financial word help second.,1,Transaction,True,56,Low,Cleaned and Validated
fdbk100069,cust104070,2024-02-19,Day out view college beautiful former.,2,App_Usability,True,38,Low,Cleaned and Validated
fdbk100070,cust109701,2023-03-31,Apply agency about quickly sea discuss property.,4,App_Usability,True,48,High,Cleaned and Validated
fdbk100071,cust104379,2023-02-21,Tend yourself glass thought economic boy ahead own since.,5,App_Usability,True,57,High,Cleaned and Validated
fdbk100072,cust101758,2022-07-19,West those door enter effort.,4,App_Usability,True,29,High,Cleaned and Validated
fdbk100073,cust100602,2023-07-19,Source each answer especially decide billion help money when dream.,3,App_Usability,True,67,Medium,Cleaned and Validated
fdbk100074,cust103805,2025-05-31,Page final share bag blue government entire fly store.,3,Transaction,True,54,Medium,Cleaned and Validated
fdbk100075,cust106854,2023-09-18,Hear reveal child check day else school along market brother.,5,Transaction,True,61,High,Cleaned and Validated
fdbk100076,cust103442,2024-09-15,Tend reflect kind happy drug.,4,Transaction,True,29,High,Cleaned and Validated
fdbk100077,cust107198,2025-07-12,Look doctor grow along mouth become allow fire.,5,Transaction,True,47,High,Cleaned and Validated
fdbk100078,cust104269,2023-05-12,Lot method imagine wish.,5,Fraud,True,24,High,Cleaned and Validated
fdbk100079,cust108467,2023-12-14,Describe end happen father I purpose line base maybe growth.,4,Transaction,True,60,High,Cleaned and Validated
fdbk100080,cust109468,2025-08-05,Real program window large economic explain.,5,Transaction,False,43,High,Cleaned and Validated
fdbk100081,cust105100,2023-01-29,Building firm read business choose too image image.,4,Transaction,True,51,High,Cleaned and Validated
fdbk100082,cust100219,2025-05-31,Offer administration prepare born something show actually reality.,5,Transaction,True,66,High,Cleaned and Validated
fdbk100083,cust108185,2024-06-11,Clearly stand us difficult performance brother experience official middle.,3,Transaction,True,74,Medium,Cleaned and Validated
fdbk100084,cust102461,2025-02-02,Later their serious less reach.,5,Transaction,True,31,High,Cleaned and Validated
fdbk100085,cust106766,2025-02-13,Local no new music chair summer television Mr.,1,Fraud,True,46,Low,Cleaned and Validated
fdbk100086,cust108860,2024-10-28,Member majority data theory big write.,5,App_Usability,False,38,High,Cleaned and Validated
fdbk100087,cust105575,2025-07-29,Over more popular American would to defense family manage best.,5,Fraud,True,63,High,Cleaned and Validated
fdbk100088,cust107253,2025-02-18,Answer can purpose themselves six.,1,Fraud,True,34,Low,Cleaned and Validated
fdbk100089,cust101709,2023-10-24,During fire gun special.,3,Transaction,True,24,Medium,Cleaned and Validated
fdbk100090,cust101364,2024-09-11,Entire big research cause represent walk.,5,Transaction,True,41,High,Cleaned and Validated
fdbk100091,cust103056,2025-04-27,Whom expect apply other somebody or position above.,5,Transaction,True,51,High,Cleaned and Validated
fdbk100092,cust109107,2022-01-21,Suffer now still dream lay society seek single read.,4,Fraud,True,52,High,Cleaned and Validated
fdbk100093,cust100659,2025-03-21,Ready help others social maintain prove.,3,Transaction,False,40,Medium,Cleaned and Validated
fdbk100094,cust102356,2024-09-06,Wind add operation over choose wide can film particular.,4,Transaction,True,56,High,Cleaned and Validated
fdbk100095,cust105370,2024-10-15,Grow common decade night kind hear.,1,Other,True,35,Low,Cleaned and Validated
fdbk100096,cust107876,2024-05-31,Go store police staff likely.,3,Transaction,True,29,Medium,Cleaned and Validated
fdbk100097,cust104301,2025-04-11,Sport pass bar yard remain activity.,3,Fraud,True,36,Medium,Cleaned and Validated
fdbk100098,cust105700,2025-05-13,Image meeting institution friend bar value.,2,Transaction,True,43,Low,Cleaned and Validated
fdbk100099,cust101338,2024-04-14,Wear seven set war total per.,5,Other,True,29,High,Cleaned and Validated
fdbk100100,cust102834,2024-08-21,Either move term want pay personal.,3,App_Usability,True,35,Medium,Cleaned and Validated
fdbk100101,cust100159,2025-02-14,Maybe standard certainly country poor until environmental young road.,2,Transaction,True,69,Low,Cleaned and Validated
fdbk100102,cust107713,2021-12-24,Every mention now against respond market according want discover music.,4,Transaction,True,71,High,Cleaned and Validated
fdbk100103,cust100549,2025-06-13,Agent direction husband size second paper relate daughter.,5,App_Usability,True,58,High,Cleaned and Validated
fdbk100104,cust103615,2025-05-11,To food wear edge picture suggest.,3,Transaction,True,34,Medium,Cleaned and Validated
fdbk100105,cust102235,2021-07-09,Meeting window fact agency nature discuss.,3,App_Usability,False,42,Medium,Cleaned and Validated
fdbk100106,cust103896,2024-06-09,East practice light play else color sit.,3,Fraud,True,40,Medium,Cleaned and Validated
fdbk100107,cust106898,2025-05-22,Behavior series recently long they least benefit.,4,Transaction,True,49,High,Cleaned and Validated
fdbk100108,cust103678,2025-02-18,Force group consumer college though popular form lead.,4,App_Usability,True,54,High,Cleaned and Validated
fdbk100109,cust100268,2025-03-16,Rather sell enter south mission social mention still among bill possible.,3,Transaction,True,73,Medium,Cleaned and Validated
fdbk100110,cust105750,2023-08-29,Watch analysis performance base blood national lawyer though administration.,5,Other,True,76,High,Cleaned and Validated
fdbk100111,cust105257,2025-06-28,List mind world she blue not theory TV treatment.,5,Transaction,True,49,High,Cleaned and Validated
fdbk100112,cust104466,2021-08-26,Black expect modern remember quite consider.,3,Fraud,True,44,Medium,Cleaned and Validated
fdbk100113,cust102401,2023-09-28,Serious behind travel common development.,4,Transaction,True,41,High,Cleaned and Validated
fdbk100114,cust105798,2025-03-31,Finish sea necessary seek summer any computer early still teacher five.,5,Transaction,True,71,High,Cleaned and Validated
fdbk100115,cust107640,2024-08-15,Call physical happy star.,4,Other,True,25,High,Cleaned and Validated
fdbk100116,cust104476,2025-05-21,Specific seem season around employee themselves throw someone record ready.,4,Transaction,True,75,High,Cleaned and Validated
fdbk100117,cust106372,2023-03-04,Moment service whole likely ten government trip campaign first.,5,Fraud,True,63,High,Cleaned and Validated
fdbk100118,cust101705,2024-10-16,Behavior think positive minute tell yes her American soldier industry.,1,App_Usability,True,70,Low,Cleaned and Validated
fdbk100119,cust103777,2025-02-09,You hair they event great official put.,5,Transaction,True,39,High,Cleaned and Validated
fdbk100120,cust107633,2024-04-19,Room with close top seek interest require camera matter.,2,Transaction,True,56,Low,Cleaned and Validated
fdbk100121,cust102554,2024-08-22,Step future attack computer behind care Republican sense member.,5,Fraud,True,64,High,Cleaned and Validated
fdbk100122,cust107136,2022-10-03,Why tax discuss lot up so ok rock matter.,2,App_Usability,True,41,Low,Cleaned and Validated
fdbk100123,cust100796,2025-02-18,Address campaign hand huge town question front.,1,Transaction,True,47,Low,Cleaned and Validated
fdbk100124,cust103654,2024-08-03,Board might report cover president necessary long take message effort last.,2,Transaction,False,75,Low,Cleaned and Validated
fdbk100125,cust103713,2025-07-25,Today section push growth stock employee shake sign common ball.,3,Transaction,True,64,Medium,Cleaned and Validated
fdbk100126,cust104890,2025-04-12,Lead full interest his allow almost.,5,Fraud,True,36,High,Cleaned and Validated
fdbk100127,cust101182,2024-07-10,Order sport boy huge item simple key.,2,App_Usability,False,37,Low,Cleaned and Validated
fdbk100128,cust104426,2025-03-09,Must teach garden structure cold light among them paper.,5,App_Usability,False,56,High,Cleaned and Validated
fdbk100129,cust107399,2025-07-05,Kind every fill discussion choose truth.,1,Fraud,True,40,Low,Cleaned and Validated
fdbk100130,cust103518,2025-08-01,Group door bad discover successful manager.,4,Transaction,False,43,High,Cleaned and Validated
fdbk100131,cust104616,2024-11-23,Future economic impact tough business give hard hot rate feeling.,5,App_Usability,True,65,High,Cleaned and Validated
fdbk100132,cust105808,2024-01-22,Approach range break expect deep daughter.,4,Transaction,True,42,High,Cleaned and Validated
fdbk100133,cust100256,2024-04-13,South security person wrong early.,4,App_Usability,True,34,High,Cleaned and Validated
fdbk100134,cust105355,2025-04-06,Recognize agent might whole kid unit itself friend phone.,3,Fraud,True,57,Medium,Cleaned and Validated
fdbk100135,cust108822,2024-10-13,Often never myself see plant themselves.,2,Transaction,True,40,Low,Cleaned and Validated
fdbk100136,cust106812,2024-08-24,Nothing join enter notice discuss prevent rest.,5,Other,True,47,High,Cleaned and Validated
fdbk100137,cust107406,2024-05-14,Agreement offer herself opportunity challenge.,4,Fraud,True,46,High,Cleaned and Validated
fdbk100138,cust100734,2024-06-18,Maybe woman bit model indeed degree conference leg hundred.,5,Transaction,True,59,High,Cleaned and Validated
fdbk100139,cust106102,2021-07-17,Figure tax probably admit argue off heavy catch when maybe.,5,Transaction,True,59,High,Cleaned and Validated
fdbk100140,cust108488,2023-12-03,Shake prepare make agent many sister.,4,Other,True,37,High,Cleaned and Validated
fdbk100141,cust101388,2025-07-10,Leg of your camera rather move short.,5,App_Usability,True,37,High,Cleaned and Validated
fdbk100142,cust103298,2024-10-29,Bad director road employee paper at.,5,App_Usability,True,36,High,Cleaned and Validated
fdbk100143,cust106490,2022-10-17,Young lot option later will author series recognize.,2,App_Usability,True,52,Low,Cleaned and Validated
fdbk100144,cust103485,2024-09-14,Anything summer choice both something.,5,Other,True,38,High,Cleaned and Validated
fdbk100145,cust100386,2022-07-10,Class almost set history care policy.,3,Transaction,True,37,Medium,Cleaned and Validated
fdbk100146,cust101360,2024-02-12,Page free sing thus represent entire.,3,Other,False,37,Medium,Cleaned and Validated
fdbk100147,cust100265,2022-05-27,Least provide mouth Mrs.,5,Transaction,False,24,High,Cleaned and Validated
fdbk100148,cust104969,2024-02-07,Land management threat population water.,1,Transaction,True,40,Low,Cleaned and Validated
fdbk100149,cust103871,2024-07-31,Subject evidence deep every green staff wall exist life.,4,Transaction,True,56,High,Cleaned and Validated
fdbk100150,cust106254,2025-03-22,Argue brother though question table candidate.,4,Other,True,46,High,Cleaned and Validated
fdbk100151,cust104898,2024-02-03,Start history open ok your choose provide speech pretty check.,1,App_Usability,True,62,Low,Cleaned and Validated
fdbk100152,cust105760,2024-01-29,Special fund nor piece management.,3,Transaction,True,34,Medium,Cleaned and Validated
fdbk100153,cust106672,2022-09-02,Activity business company think type.,4,Transaction,True,37,High,Cleaned and Validated
fdbk100154,cust101738,2024-12-12,Would future treat human PM play several chair everyone minute.,4,Other,False,63,High,Cleaned and Validated
fdbk100155,cust104651,2022-12-28,Pass music these say term hard prevent cover group perhaps business.,4,App_Usability,True,68,High,Cleaned and Validated
fdbk100156,cust100990,2023-05-08,Dark focus charge middle car light boy into.,2,Transaction,True,44,Low,Cleaned and Validated
fdbk100157,cust107241,2024-01-01,Feeling generation speak security kitchen population office gas unit south.,4,Other,True,75,High,Cleaned and Validated
fdbk100158,cust104172,2024-02-25,Own here of throw list program us poor development to.,5,Transaction,True,54,High,Cleaned and Validated
fdbk100159,cust103245,2025-06-13,House use be and measure.,4,Transaction,True,25,High,Cleaned and Validated
fdbk100160,cust109351,2024-01-28,Population half go early movie evening whole culture account reflect.,5,App_Usability,False,69,High,Cleaned and Validated
fdbk100161,cust100741,2024-07-23,Customer character us month send west well administration special.,2,Transaction,False,66,Low,Cleaned and Validated
fdbk100162,cust103968,2025-03-26,Enough card pick board mother number old experience.,5,Transaction,True,52,High,Cleaned and Validated
fdbk100163,cust108497,2025-01-04,Draw if same major leg.,2,App_Usability,True,23,Low,Cleaned and Validated
fdbk100164,cust100097,2025-06-24,Especially statement career especially change for focus.,1,Transaction,True,56,Low,Cleaned and Validated
fdbk100165,cust108853,2024-03-16,Can figure fish bar type difference traditional power.,2,Transaction,False,54,Low,Cleaned and Validated
fdbk100166,cust109595,2022-04-19,Time speak likely arrive factor.,4,App_Usability,True,32,High,Cleaned and Validated
fdbk100167,cust103207,2023-12-16,Edge night let cost can campaign in perform ready.,5,Other,True,50,High,Cleaned and Validated
fdbk100168,cust101253,2025-03-16,Pretty no cold real arm born show everyone fill with.,3,Transaction,False,53,Medium,Cleaned and Validated
fdbk100169,cust104933,2025-06-05,Compare into fly that letter southern with standard.,5,Transaction,True,52,High,Cleaned and Validated
fdbk100170,cust103400,2022-10-08,Miss Mr seem red stop born management our in.,1,App_Usability,True,45,Low,Cleaned and Validated
fdbk100171,cust103176,2022-09-07,Food hand war enjoy stuff force avoid speech avoid head.,5,App_Usability,True,56,High,Cleaned and Validated
fdbk100172,cust104964,2025-05-26,Performance information push outside director foot produce draw high.,2,Other,True,69,Low,Cleaned and Validated
fdbk100173,cust101838,2023-06-16,Star ago price it move way series.,4,Transaction,True,34,High,Cleaned and Validated
fdbk100174,cust101241,2021-04-07,Total event evidence poor game both usually resource rest trade.,3,Transaction,True,64,Medium,Cleaned and Validated
fdbk100175,cust100581,2024-07-16,Citizen force free beautiful increase example eye who seven.,3,App_Usability,True,60,Medium,Cleaned and Validated
fdbk100176,cust103644,2025-07-14,Where difference avoid travel political.,4,Transaction,True,40,High,Cleaned and Validated
fdbk100177,cust106107,2025-07-07,Hair force new around do daughter join.,2,Transaction,True,39,Low,Cleaned and Validated
fdbk100178,cust101078,2023-06-27,Theory gas identify not.,2,Transaction,True,24,Low,Cleaned and Validated
fdbk100179,cust103127,2024-01-01,Much executive although common save almost certain.,4,Fraud,True,51,High,Cleaned and Validated
fdbk100180,cust107743,2024-12-17,Design forward plant tree particular smile seem sister get add.,4,Transaction,False,63,High,Cleaned and Validated
fdbk100181,cust109114,2023-12-01,Relationship allow hospital send who onto about wonder operation benefit.,5,App_Usability,True,73,High,Cleaned and Validated
fdbk100182,cust107148,2024-05-15,Hit where their personal front evidence window career.,5,Transaction,True,54,High,Cleaned and Validated
fdbk100183,cust109397,2022-08-01,Real relationship she moment whatever program tree affect.,4,App_Usability,True,58,High,Cleaned and Validated
fdbk100184,cust108148,2025-02-04,Election material say beautiful sell when knowledge four.,4,Transaction,False,57,High,Cleaned and Validated
fdbk100185,cust102454,2024-06-07,Heart go another bank information.,3,Fraud,True,34,Medium,Cleaned and Validated
fdbk100186,cust102349,2023-03-09,Three want already that stock oil doctor rather stage.,5,Other,True,54,High,Cleaned and Validated
fdbk100187,cust107090,2023-02-02,Him manage mouth by guess.,5,Fraud,True,26,High,Cleaned and Validated
fdbk100188,cust106314,2025-05-31,Throw agreement successful he education should how usually.,2,Transaction,True,59,Low,Cleaned and Validated
fdbk100189,cust100525,2021-04-06,Research through budget view class prove send pattern small office.,4,Transaction,True,67,High,Cleaned and Validated
fdbk100190,cust105221,2025-04-27,Fact hour avoid include yet phone.,5,App_Usability,True,34,High,Cleaned and Validated
fdbk100191,cust100508,2025-06-26,Unit training baby win soldier fact boy food.,5,Fraud,True,45,High,Cleaned and Validated
fdbk100192,cust102547,2022-07-10,Yes number page every southern measure go professor national nature.,3,Transaction,True,68,Medium,Cleaned and Validated
fdbk100193,cust108514,2024-10-07,Woman main factor change before.,3,Fraud,True,32,Medium,Cleaned and Validated
fdbk100194,cust108164,2023-10-13,Carry stop attorney order husband.,2,Transaction,True,34,Low,Cleaned and Validated
fdbk100195,cust109715,2025-06-18,Brother theory top according provide federal all modern indeed Republican.,3,Fraud,True,74,Medium,Cleaned and Validated
fdbk100196,cust106372,2021-09-25,Seat answer next mean participant Mrs treat close central adult.,2,Transaction,True,64,Low,Cleaned and Validated
fdbk100197,cust100831,2024-04-09,Write technology middle offer no will season rich into.,3,Transaction,True,55,Medium,Cleaned and Validated
fdbk100198,cust101518,2024-08-26,Mission kind plant discover miss same dog bar truth.,2,App_Usability,False,52,Low,Cleaned and Validated
fdbk100199,cust104388,2021-12-21,State record professional kid quite certain focus voice wrong drive.,1,Transaction,True,68,Low,Cleaned and Validated
fdbk100200,cust104133,2025-02-14,Condition argue peace explain government follow rule production field.,4,Fraud,False,70,High,Cleaned and Validated
fdbk100201,cust106966,2025-05-26,Information girl shake character way audience begin.,4,Transaction,True,52,High,Cleaned and Validated
fdbk100202,cust103130,2024-01-25,Four market drop trade box.,5,Transaction,False,27,High,Cleaned and Validated
fdbk100203,cust106092,2025-05-12,Any will significant candidate subject defense someone.,4,Transaction,True,55,High,Cleaned and Validated
fdbk100204,cust104823,2022-08-08,Apply music approach person recent candidate notice government keep field.,1,Transaction,True,74,Low,Cleaned and Validated
fdbk100205,cust104987,2025-06-02,High usually involve budget direction ground relationship discuss simple mean.,3,Transaction,False,78,Medium,Cleaned and Validated
fdbk100206,cust106219,2025-07-12,Where simply democratic night sport writer contain building where mission strategy.,4,App_Usability,False,83,High,Cleaned and Validated
fdbk100207,cust101126,2023-03-13,Begin stuff read bill financial.,3,Transaction,True,32,Medium,Cleaned and Validated
fdbk100208,cust106488,2024-01-18,Organization present unit source pay technology heavy stock.,4,Fraud,True,60,High,Cleaned and Validated
fdbk100209,cust109944,2025-02-04,Raise six foot condition imagine behind.,5,Transaction,True,40,High,Cleaned and Validated
fdbk100210,cust100196,2025-05-17,One to here form reflect.,5,Fraud,True,25,High,Cleaned and Validated
fdbk100211,cust109223,2025-06-29,Try role movie young focus.,5,App_Usability,True,27,High,Cleaned and Validated
fdbk100212,cust108718,2024-06-07,Red determine quite player pass seem between thing across themselves.,1,App_Usability,True,69,Low,Cleaned and Validated
fdbk100213,cust100561,2022-08-22,Chance arrive dream film forward bring admit discussion goal expect.,1,App_Usability,True,68,Low,Cleaned and Validated
fdbk100214,cust106621,2025-03-03,Forget street ok military pretty heart think get drug maintain.,5,Transaction,True,63,High,Cleaned and Validated
fdbk100215,cust103393,2023-10-05,It threat practice idea camera record Republican last today.,5,Transaction,True,60,High,Cleaned and Validated
fdbk100216,cust107511,2021-04-28,Teacher too heavy fine hot.,3,Fraud,True,27,Medium,Cleaned and Validated
fdbk100217,cust103910,2022-08-07,Only prove may responsibility operation human Mrs.,4,Transaction,True,50,High,Cleaned and Validated
fdbk100218,cust102055,2023-04-29,Arrive resource another tell lot.,2,Transaction,True,33,Low,Cleaned and Validated
fdbk100219,cust102656,2024-04-03,Especially adult hospital describe across measure worker black production.,4,Transaction,True,74,High,Cleaned and Validated
fdbk100220,cust102149,2025-06-10,Bill large ago music bank man.,3,Other,True,30,Medium,Cleaned and Validated
fdbk100221,cust109019,2023-05-20,Heart catch black interest pattern senior sister level early.,4,Transaction,True,61,High,Cleaned and Validated
fdbk100222,cust107874,2025-06-11,Hour whole land very one choice.,5,App_Usability,True,32,High,Cleaned and Validated
fdbk100223,cust103912,2025-07-05,Prepare according approach learn blue view man add general.,5,App_Usability,True,59,High,Cleaned and Validated
fdbk100224,cust104866,2025-01-20,Record buy whatever so left cost your.,5,Transaction,True,38,High,Cleaned and Validated
fdbk100225,cust100031,2024-05-22,Think make weight court into.,3,Fraud,True,29,Medium,Cleaned and Validated
fdbk100226,cust106240,2023-03-25,Strategy federal sing could face quite lawyer.,1,Transaction,True,46,Low,Cleaned and Validated
fdbk100227,cust101502,2025-07-08,Without hand official interest another.,5,Transaction,True,39,High,Cleaned and Validated
fdbk100228,cust103324,2025-05-29,Teach suffer when picture today.,1,Fraud,True,32,Low,Cleaned and Validated
fdbk100229,cust101803,2024-07-31,Understand contain Republican plant which into late indicate.,5,Transaction,True,61,High,Cleaned and Validated
fdbk100230,cust106816,2023-09-01,Born production over like report.,3,Transaction,True,33,Medium,Cleaned and Validated
fdbk100231,cust103396,2024-12-30,Everyone how analysis experience oil.,1,Transaction,True,37,Low,Cleaned and Validated
fdbk100232,cust107421,2023-11-15,Popular or space state task true finish smile.,5,Transaction,True,46,High,Cleaned and Validated
fdbk100233,cust106912,2024-04-28,Street detail local huge environment response music action.,5,App_Usability,True,59,High,Cleaned and Validated
fdbk100234,cust105963,2025-08-04,Law history budget final between.,2,Transaction,False,33,Low,Cleaned and Validated
fdbk100235,cust104645,2023-07-16,Save usually street situation benefit everything rock reduce project truth team.,5,Fraud,True,80,High,Cleaned and Validated
fdbk100236,cust105794,2024-11-15,Agree indeed certainly particular or past.,2,Transaction,True,42,Low,Cleaned and Validated
fdbk100237,cust105944,2024-12-03,Brother need much week candidate stop feel she clearly early.,4,Transaction,True,61,High,Cleaned and Validated
