alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks,resolution_time_days,cleaning_status
alert117919,txn10017919,Suspicious_Login,,True,,Society level house him nice money catch whose.,,Cleaned and Validated
alert128056,txn10028056,Unusual_Time,2025-11-04 18:43:48,True,2025-11-04 18:43:48,Return hundred official up education participant always speak.,0.0,Cleaned and Validated
alert113524,txn10013524,Suspicious_Login,,True,,Type sound special.,,Cleaned and Validated
alert198754,txn10098754,Suspicious_Login,2025-11-04 18:11:18,False,,Benefit student country how feel simply lot.,,Cleaned and Validated
alert143678,txn10043678,Frequent_Failure,,True,,Pick own ten sign bag.,,Cleaned and Validated
alert182558,txn10082558,Suspicious_Login,,True,,Least parent upon fire soldier sense.,,Cleaned and Validated
alert136474,txn10036474,Unusual_Amount,,True,,Product boy hospital with.,,Cleaned and Validated
alert128807,txn10028807,Unusual_Time,2025-11-04 18:11:06,True,2025-11-04 06:42:00,Keep door set across watch.,,Cleaned and Validated
alert136007,txn10036007,Frequent_Failure,,True,,Other half place small although they.,,Cleaned and Validated
alert129118,txn10029118,Suspicious_Login,,True,,Make experience history international knowledge simply whole.,,Cleaned and Validated
alert103019,txn10003019,Suspicious_Login,,False,,Anything wide bar tonight allow operation certainly.,,Cleaned and Validated
alert143397,txn10043397,Unusual_Amount,2025-11-04 07:45:48,False,,Time open half enter and customer rule.,,Cleaned and Validated
alert185636,txn10085636,Frequent_Failure,,True,,Make well take music imagine.,,Cleaned and Validated
alert109063,txn10009063,Frequent_Failure,2025-11-04 21:26:06,True,2025-11-04 21:26:06,Morning project soon would she happen respond.,0.0,Cleaned and Validated
alert113940,txn10013940,Suspicious_Login,2025-11-04 05:21:12,True,2025-11-04 05:21:12,Thus number state.,0.0,Cleaned and Validated
alert156319,txn10056319,Suspicious_Login,,True,,Lead stuff understand month.,,Cleaned and Validated
alert151548,txn10051548,Unusual_Amount,,True,,Goal art kid near doctor step.,,Cleaned and Validated
alert153063,txn10053063,Unusual_Amount,2025-11-04 12:53:06,True,2025-11-04 12:53:06,Another million heart young market course.,0.0,Cleaned and Validated
alert179535,txn10079535,Frequent_Failure,,True,,Thing think thus soldier.,,Cleaned and Validated
alert134119,txn10034119,Unusual_Time,2025-11-04 21:19:54,True,2025-11-04 21:19:54,Week bring wear difficult cut much.,0.0,Cleaned and Validated
alert183960,txn10083960,Suspicious_Login,,True,,Theory factor local again practice focus.,,Cleaned and Validated
alert194161,txn10094161,Suspicious_Login,2025-11-04 01:12:18,True,2025-11-04 01:12:18,Spring clear common peace.,0.0,Cleaned and Validated
alert190981,txn10090981,Unusual_Time,,True,,Simply else current hope.,,Cleaned and Validated
alert187499,txn10087499,Unusual_Time,,True,2025-11-04 06:42:00,Talk voice camera sign to action.,,Cleaned and Validated
alert170279,txn10070279,Unusual_Time,,True,,Machine various civil when so.,,Cleaned and Validated
alert129641,txn10029641,Unusual_Time,,True,,Bag at owner affect none player.,,Cleaned and Validated
alert109279,txn10009279,Suspicious_Login,,False,,Worker trip recently much age method respond.,,Cleaned and Validated
alert134892,txn10034892,Unusual_Amount,,True,,Center particular eight seek sure sea.,,Cleaned and Validated
alert137894,txn10037894,Suspicious_Login,,False,,Mention detail another movie test their yes sing.,,Cleaned and Validated
alert134018,txn10034018,Unusual_Amount,,True,,Character space treatment owner many entire under detail.,,Cleaned and Validated
alert145043,txn10045043,Unusual_Amount,,True,,Road management organization amount likely perform hard.,,Cleaned and Validated
alert183445,txn10083445,Suspicious_Login,,True,,Require career mention anyone president.,,Cleaned and Validated
alert153214,txn10053214,Unusual_Amount,2025-11-04 12:17:18,True,2025-11-04 12:17:18,Through money recent nothing save.,0.0,Cleaned and Validated
alert115224,txn10015224,Unusual_Time,2025-11-04 12:08:00,True,2025-11-04 12:08:00,Since professional need job part your.,0.0,Cleaned and Validated
alert106435,txn10006435,Frequent_Failure,,True,,Red matter answer be.,,Cleaned and Validated
alert154510,txn10054510,Frequent_Failure,,True,,Too involve election money smile open cause.,,Cleaned and Validated
alert161704,txn10061704,Unusual_Amount,,False,,Drive hope artist better produce page.,,Cleaned and Validated
alert170210,txn10070210,Suspicious_Login,,True,,Make side movie size make himself need either.,,Cleaned and Validated
alert143629,txn10043629,Suspicious_Login,2025-11-04 23:33:00,True,2025-11-04 23:33:00,Start human in.,0.0,Cleaned and Validated
alert162523,txn10062523,Unusual_Time,2025-11-04 06:23:48,True,2025-11-04 06:23:48,Against bill her prove expect while conference where.,0.0,Cleaned and Validated
alert127065,txn10027065,Unusual_Amount,,True,,Beautiful stage structure rest.,,Cleaned and Validated
alert136445,txn10036445,Unusual_Time,,True,,Claim guess because hand late.,,Cleaned and Validated
alert169416,txn10069416,Unusual_Time,,True,,Create decision whole agree bank natural.,,Cleaned and Validated
alert190174,txn10090174,Unusual_Amount,,True,,Political plan them former your.,,Cleaned and Validated
alert179081,txn10079081,Frequent_Failure,,True,,Woman front space ten almost.,,Cleaned and Validated
alert191763,txn10091763,Unusual_Amount,2025-11-04 20:50:06,True,2025-11-04 20:50:06,Remember forward main indeed talk leave.,0.0,Cleaned and Validated
alert195323,txn10095323,Frequent_Failure,2025-11-04 03:40:06,True,2025-11-04 03:40:06,Realize great here forget doctor wind.,0.0,Cleaned and Validated
alert171596,txn10071596,Unusual_Time,2025-11-04 09:59:48,True,2025-11-04 09:59:48,Seven hit relationship successful walk baby behavior state.,0.0,Cleaned and Validated
alert150888,txn10050888,Frequent_Failure,,True,,Cold out person stay story.,,Cleaned and Validated
alert167772,txn10067772,Suspicious_Login,,True,,Itself concern rule.,,Cleaned and Validated
alert156177,txn10056177,Frequent_Failure,2025-11-04 19:11:00,True,2025-11-04 19:11:00,Summer read raise risk likely network late.,0.0,Cleaned and Validated
alert171410,txn10071410,Suspicious_Login,,False,,Tough mission series animal different condition.,,Cleaned and Validated
alert138444,txn10038444,Unusual_Time,,True,,Piece consumer far find benefit measure pretty.,,Cleaned and Validated
alert116362,txn10016362,Suspicious_Login,2025-11-04 08:08:54,True,2025-11-04 08:08:54,Everyone effect return.,0.0,Cleaned and Validated
alert132696,txn10032696,Unusual_Amount,,True,,Fact whom evening population thought.,,Cleaned and Validated
alert105348,txn10005348,Unusual_Amount,,True,,Scientist seek push speech choose market perform.,,Cleaned and Validated
alert106672,txn10006672,Unusual_Amount,,True,,Program they kitchen maybe wife activity.,,Cleaned and Validated
alert152141,txn10052141,Unusual_Time,,True,,Military on share letter three.,,Cleaned and Validated
alert160323,txn10060323,Unusual_Amount,,True,,High natural check major realize.,,Cleaned and Validated
alert146369,txn10046369,Frequent_Failure,,False,,Task glass purpose until cell those.,,Cleaned and Validated
alert102687,txn10002687,Frequent_Failure,,True,,Site third firm food.,,Cleaned and Validated
alert106088,txn10006088,Unusual_Amount,,True,,Old degree organization condition activity according see.,,Cleaned and Validated
alert111616,txn10011616,Unusual_Time,,True,,Notice anything sport.,,Cleaned and Validated
alert118167,txn10018167,Suspicious_Login,,True,,Edge agency have do.,,Cleaned and Validated
alert149293,txn10049293,Frequent_Failure,,True,,Great when want conference head military.,,Cleaned and Validated
alert114015,txn10014015,Suspicious_Login,2025-11-04 07:21:06,True,2025-11-04 07:21:06,Direction fly office character truth TV middle value.,0.0,Cleaned and Validated
alert198379,txn10098379,Unusual_Amount,2025-11-04 07:12:30,True,2025-11-04 07:12:30,Believe visit system view even.,0.0,Cleaned and Validated
alert184708,txn10084708,Frequent_Failure,2025-11-04 20:50:42,True,2025-11-04 20:50:42,Significant opportunity traditional those.,0.0,Cleaned and Validated
alert128232,txn10028232,Frequent_Failure,,True,,Practice anything act building national arm.,,Cleaned and Validated
alert164204,txn10064204,Frequent_Failure,2025-11-04 05:29:42,True,2025-11-04 05:29:42,Commercial hand half success then.,0.0,Cleaned and Validated
alert172251,txn10072251,Suspicious_Login,2025-11-04 00:05:54,True,2025-11-04 00:05:54,Response nothing body adult finally a.,0.0,Cleaned and Validated
alert143886,txn10043886,Unusual_Amount,,True,,Between vote within individual pay.,,Cleaned and Validated
alert104236,txn10004236,Unusual_Amount,,True,,Goal again agreement recognize increase you laugh administration.,,Cleaned and Validated
alert182816,txn10082816,Suspicious_Login,,True,,Skin low girl poor figure.,,Cleaned and Validated
alert105774,txn10005774,Frequent_Failure,,True,,Series significant policy but note cut appear.,,Cleaned and Validated
alert149142,txn10049142,Unusual_Time,,True,,Mention whole indicate real truth.,,Cleaned and Validated
alert102686,txn10002686,Unusual_Time,2025-11-04 10:26:36,True,2025-11-04 10:26:36,Stay nearly draw.,0.0,Cleaned and Validated
alert135050,txn10035050,Suspicious_Login,2025-11-04 09:45:48,False,,Recognize unit car cell fear sea once.,,Cleaned and Validated
alert197381,txn10097381,Frequent_Failure,,True,,Management blood reflect five impact.,,Cleaned and Validated
alert189997,txn10089997,Suspicious_Login,2025-11-04 07:37:48,True,2025-11-04 07:37:48,Reach even interest suffer.,0.0,Cleaned and Validated
alert166207,txn10066207,Suspicious_Login,,True,,Son time stay put few indicate still officer.,,Cleaned and Validated
alert135129,txn10035129,Unusual_Time,2025-11-04 16:54:24,True,2025-11-04 16:54:24,Player event save term condition.,0.0,Cleaned and Validated
alert156663,txn10056663,Unusual_Time,2025-11-04 16:10:24,True,2025-11-04 16:10:24,And they level product type.,0.0,Cleaned and Validated
alert127922,txn10027922,Unusual_Time,2025-11-04 08:52:54,True,2025-11-04 08:52:54,News less film perhaps event attention system.,0.0,Cleaned and Validated
alert123462,txn10023462,Suspicious_Login,2025-11-04 12:14:18,True,2025-11-04 12:14:18,Issue alone water generation eye air smile.,0.0,Cleaned and Validated
alert172914,txn10072914,Frequent_Failure,,True,2025-11-04 06:42:00,Mind clear go support language treat look.,,Cleaned and Validated
alert199144,txn10099144,Frequent_Failure,2025-11-04 07:11:54,True,2025-11-04 07:11:54,Model able relationship note able establish.,0.0,Cleaned and Validated
alert123829,txn10023829,Frequent_Failure,2025-11-04 11:25:30,True,2025-11-04 11:25:30,Institution test dark memory.,0.0,Cleaned and Validated
alert143051,txn10043051,Frequent_Failure,,True,,Issue hard message situation energy lead hundred.,,Cleaned and Validated
alert135154,txn10035154,Frequent_Failure,,True,,Describe enjoy movie water agency education physical.,,Cleaned and Validated
alert153811,txn10053811,Frequent_Failure,,True,,North choice ask need space maybe media every.,,Cleaned and Validated
alert178186,txn10078186,Unusual_Amount,2025-11-04 03:11:12,True,2025-11-04 03:11:12,Network father why population hear loss.,0.0,Cleaned and Validated
alert153822,txn10053822,Frequent_Failure,,True,,Cup cover choice and near.,,Cleaned and Validated
alert152446,txn10052446,Frequent_Failure,2025-11-04 13:16:30,True,2025-11-04 13:16:30,Language add probably first.,0.0,Cleaned and Validated
alert160532,txn10060532,Unusual_Time,,True,,Left start base.,,Cleaned and Validated
alert181110,txn10081110,Unusual_Time,,True,,Truth financial citizen either.,,Cleaned and Validated
alert160084,txn10060084,Unusual_Time,,True,,Call space alone with enjoy might by agent.,,Cleaned and Validated
alert141393,txn10041393,Suspicious_Login,,False,,So your program probably manager citizen book process.,,Cleaned and Validated
alert164965,txn10064965,Unusual_Time,2025-11-04 11:22:24,False,,Key research audience deep pay western.,,Cleaned and Validated
alert161001,txn10061001,Suspicious_Login,2025-11-04 11:25:18,False,,Not him own night even.,,Cleaned and Validated
alert160433,txn10060433,Frequent_Failure,2025-11-04 23:18:42,True,2025-11-04 23:18:42,Difficult system them more at without trial.,0.0,Cleaned and Validated
alert196682,txn10096682,Unusual_Time,,True,,Us year station get part.,,Cleaned and Validated
alert147309,txn10047309,Unusual_Amount,2025-11-04 20:59:06,True,2025-11-04 20:59:06,Until usually deep successful sister require agent.,0.0,Cleaned and Validated
alert160725,txn10060725,Frequent_Failure,,True,,Way not home analysis might glass.,,Cleaned and Validated
alert137076,txn10037076,Suspicious_Login,,True,,Somebody present maybe consumer project must.,,Cleaned and Validated
alert137821,txn10037821,Suspicious_Login,2025-11-04 22:41:24,False,,Look card record.,,Cleaned and Validated
alert120317,txn10020317,Unusual_Time,2025-11-04 00:04:42,True,2025-11-04 00:04:42,Relationship across reality.,0.0,Cleaned and Validated
alert134797,txn10034797,Suspicious_Login,,True,,Region well head number true.,,Cleaned and Validated
alert152874,txn10052874,Suspicious_Login,,True,,Report set as also up.,,Cleaned and Validated
alert196137,txn10096137,Frequent_Failure,,True,,Once practice pick.,,Cleaned and Validated
alert117331,txn10017331,Suspicious_Login,2025-11-04 22:07:18,False,,Suggest science necessary office.,,Cleaned and Validated
alert188996,txn10088996,Unusual_Amount,,True,,Her former guy.,,Cleaned and Validated
alert108544,txn10008544,Frequent_Failure,,True,,Successful plan season fine laugh store also.,,Cleaned and Validated
alert144490,txn10044490,Suspicious_Login,,True,,Turn husband space early away.,,Cleaned and Validated
alert123609,txn10023609,Suspicious_Login,,False,,Movement very production you physical.,,Cleaned and Validated
alert178741,txn10078741,Suspicious_Login,,True,,State test whole front.,,Cleaned and Validated
alert165874,txn10065874,Suspicious_Login,2025-11-04 17:03:18,False,,Discover tax another.,,Cleaned and Validated
alert125536,txn10025536,Unusual_Time,,True,,Produce market establish firm public state us.,,Cleaned and Validated
alert170584,txn10070584,Frequent_Failure,,True,,Can attorney data maybe which adult development point.,,Cleaned and Validated
alert157768,txn10057768,Suspicious_Login,2025-11-04 19:05:18,False,,Away successful one feel contain option.,,Cleaned and Validated
alert196810,txn10096810,Unusual_Time,2025-11-04 10:28:12,True,2025-11-04 10:28:12,Catch market between house white.,0.0,Cleaned and Validated
alert153243,txn10053243,Unusual_Amount,,True,,Agent else trouble their officer.,,Cleaned and Validated
alert183588,txn10083588,Suspicious_Login,,True,,Support really education husband hope cause beat.,,Cleaned and Validated
alert125472,txn10025472,Suspicious_Login,,False,,Continue pull know son exactly protect present prove.,,Cleaned and Validated
alert119212,txn10019212,Unusual_Time,2025-11-04 20:04:24,True,2025-11-04 20:04:24,Must sister lot tree.,0.0,Cleaned and Validated
alert181670,txn10081670,Frequent_Failure,,True,,Long operation color over.,,Cleaned and Validated
alert150901,txn10050901,Unusual_Amount,2025-11-04 16:34:48,True,2025-11-04 16:34:48,Create allow look room stand before.,0.0,Cleaned and Validated
alert108945,txn10008945,Frequent_Failure,2025-11-04 10:10:36,True,2025-11-04 10:10:36,Turn discuss leave still return big role happy.,0.0,Cleaned and Validated
alert175410,txn10075410,Unusual_Time,,True,,Continue great report stock foot store left.,,Cleaned and Validated
alert160883,txn10060883,Frequent_Failure,,True,,Citizen decide challenge gas style cost.,,Cleaned and Validated
alert192960,txn10092960,Frequent_Failure,2025-11-04 14:07:12,True,2025-11-04 14:07:12,Girl major radio effort consider attorney bar kind.,0.0,Cleaned and Validated
alert130733,txn10030733,Unusual_Time,2025-11-04 07:38:24,True,2025-11-04 07:38:24,Budget machine born which cost foreign policy form.,0.0,Cleaned and Validated
alert170947,txn10070947,Unusual_Time,,True,,Window four there bank.,,Cleaned and Validated
alert154988,txn10054988,Unusual_Time,,True,,Network prepare five.,,Cleaned and Validated
alert175970,txn10075970,Frequent_Failure,2025-11-04 17:56:36,False,,Sell behind stock chance across though run either.,,Cleaned and Validated
alert157810,txn10057810,Unusual_Amount,2025-11-04 11:53:24,True,2025-11-04 11:53:24,Black lawyer early strategy information ever.,0.0,Cleaned and Validated
alert131173,txn10031173,Suspicious_Login,2025-11-04 14:47:42,True,2025-11-04 14:47:42,Find answer drop assume.,0.0,Cleaned and Validated
alert107014,txn10007014,Frequent_Failure,2025-11-04 15:38:30,True,2025-11-04 15:38:30,Body maybe page onto mention.,0.0,Cleaned and Validated
alert176669,txn10076669,Suspicious_Login,2025-11-04 04:43:54,True,2025-11-04 04:43:54,Reduce early option common guess growth national.,0.0,Cleaned and Validated
alert108081,txn10008081,Unusual_Time,,True,,Front involve language realize clearly.,,Cleaned and Validated
alert115445,txn10015445,Frequent_Failure,2025-11-04 02:06:06,True,2025-11-04 02:06:06,Wear human structure plan policy many seem.,0.0,Cleaned and Validated
alert162083,txn10062083,Suspicious_Login,2025-11-04 15:43:24,True,2025-11-04 15:43:24,Total partner space sea someone.,0.0,Cleaned and Validated
alert137222,txn10037222,Frequent_Failure,,True,2025-11-04 06:42:00,Inside suffer thus design give.,,Cleaned and Validated
alert134932,txn10034932,Suspicious_Login,2025-11-04 20:18:54,True,2025-11-04 20:18:54,Want her customer successful type anything.,0.0,Cleaned and Validated
alert171625,txn10071625,Unusual_Time,,True,,Knowledge seat job even run maintain system.,,Cleaned and Validated
alert108769,txn10008769,Unusual_Time,2025-11-04 01:00:18,False,,Yet bank magazine.,,Cleaned and Validated
alert176438,txn10076438,Frequent_Failure,,True,,Ability media treatment firm.,,Cleaned and Validated
alert113367,txn10013367,Suspicious_Login,,True,,Born movie quality whole than.,,Cleaned and Validated
alert126225,txn10026225,Frequent_Failure,,True,,Hair only avoid audience civil chance choose.,,Cleaned and Validated
alert149193,txn10049193,Suspicious_Login,,True,,While address option future.,,Cleaned and Validated
alert142317,txn10042317,Suspicious_Login,2025-11-04 20:29:30,True,2025-11-04 20:29:30,Herself though notice several miss manager.,0.0,Cleaned and Validated
alert128368,txn10028368,Unusual_Amount,,True,,Fact population claim real fund eight field role.,,Cleaned and Validated
alert162375,txn10062375,Unusual_Amount,,True,,Many money wear.,,Cleaned and Validated
alert149285,txn10049285,Unusual_Amount,,True,,Central yet town it door be.,,Cleaned and Validated
alert178432,txn10078432,Suspicious_Login,,True,,Natural out start inside goal student hair.,,Cleaned and Validated
alert133224,txn10033224,Frequent_Failure,,True,,Certain decide individual prevent guess.,,Cleaned and Validated
alert199274,txn10099274,Unusual_Amount,,True,,Reduce shoulder should how few little part.,,Cleaned and Validated
alert150111,txn10050111,Suspicious_Login,2025-11-04 11:19:42,True,2025-11-04 11:19:42,Then side herself everyone.,0.0,Cleaned and Validated
alert179792,txn10079792,Frequent_Failure,,False,,Reveal involve eat necessary research turn address.,,Cleaned and Validated
alert163679,txn10063679,Unusual_Amount,2025-11-04 03:58:42,True,2025-11-04 03:58:42,Possible skill side computer face.,0.0,Cleaned and Validated
alert169635,txn10069635,Suspicious_Login,,True,,Even behind pretty group TV soldier.,,Cleaned and Validated
alert109438,txn10009438,Frequent_Failure,,True,,Hear cut east that teach yeah.,,Cleaned and Validated
alert131259,txn10031259,Frequent_Failure,,True,,Company reason new staff.,,Cleaned and Validated
alert118610,txn10018610,Suspicious_Login,,True,,Television nor thus thing.,,Cleaned and Validated
alert174508,txn10074508,Unusual_Time,,True,2025-11-04 06:42:00,Piece clear late.,,Cleaned and Validated
alert159859,txn10059859,Frequent_Failure,2025-11-04 05:32:54,True,2025-11-04 05:32:54,Operation exactly table bed arm cover.,0.0,Cleaned and Validated
alert175845,txn10075845,Unusual_Time,2025-11-04 13:28:30,True,2025-11-04 13:28:30,Maintain small serve daughter.,0.0,Cleaned and Validated
alert112680,txn10012680,Unusual_Time,2025-11-04 01:42:12,True,2025-11-04 01:42:12,Simply security support defense street whom our list.,0.0,Cleaned and Validated
alert103783,txn10003783,Unusual_Time,2025-11-04 02:01:30,True,2025-11-04 02:01:30,Financial though especially affect people.,0.0,Cleaned and Validated
alert109146,txn10009146,Frequent_Failure,2025-11-04 07:22:00,True,2025-11-04 07:22:00,Health my a form.,0.0,Cleaned and Validated
alert116144,txn10016144,Unusual_Amount,,True,,Southern plan leg party admit mean pretty need.,,Cleaned and Validated
alert148570,txn10048570,Frequent_Failure,,True,,Particularly just just put worker owner.,,Cleaned and Validated
alert146362,txn10046362,Suspicious_Login,2025-11-04 23:14:18,True,2025-11-04 23:14:18,Value public realize provide raise fine level.,0.0,Cleaned and Validated
alert127272,txn10027272,Unusual_Amount,,True,,Thus number program note ahead heavy responsibility.,,Cleaned and Validated
alert155956,txn10055956,Frequent_Failure,2025-11-04 15:26:54,True,2025-11-04 15:26:54,Security operation charge get side.,0.0,Cleaned and Validated
alert177634,txn10077634,Suspicious_Login,,True,,Morning hard against quickly there skill.,,Cleaned and Validated
alert160891,txn10060891,Unusual_Time,2025-11-04 06:41:18,True,2025-11-04 06:41:18,Improve yard success own carry know life.,0.0,Cleaned and Validated
alert196997,txn10096997,Suspicious_Login,2025-11-04 04:07:36,True,2025-11-04 04:07:36,Chair involve return a under lead.,0.0,Cleaned and Validated
alert143074,txn10043074,Suspicious_Login,,True,,High product event.,,Cleaned and Validated
alert172825,txn10072825,Frequent_Failure,,True,,Man child sound.,,Cleaned and Validated
alert188974,txn10088974,Unusual_Time,,True,,Me person citizen alone.,,Cleaned and Validated
alert162427,txn10062427,Unusual_Amount,,True,,While force party friend heart.,,Cleaned and Validated
alert141990,txn10041990,Suspicious_Login,,True,,Bill opportunity body common hotel challenge.,,Cleaned and Validated
alert179871,txn10079871,Unusual_Amount,,False,,Little ball successful successful agency.,,Cleaned and Validated
alert193003,txn10093003,Unusual_Time,2025-11-04 05:16:54,True,2025-11-04 05:16:54,Standard consumer Mrs college middle region.,0.0,Cleaned and Validated
alert114499,txn10014499,Suspicious_Login,2025-11-04 04:20:30,True,2025-11-04 04:20:30,Meeting sport unit direction but budget road.,0.0,Cleaned and Validated
alert133148,txn10033148,Suspicious_Login,2025-11-04 17:14:06,True,2025-11-04 17:14:06,Detail far movement much.,0.0,Cleaned and Validated
alert141208,txn10041208,Unusual_Time,,False,,Huge note different remember exist.,,Cleaned and Validated
alert115059,txn10015059,Frequent_Failure,2025-11-04 17:57:48,True,2025-11-04 17:57:48,Goal opportunity now cause affect continue difference end.,0.0,Cleaned and Validated
alert146315,txn10046315,Unusual_Amount,2025-11-04 11:59:24,True,2025-11-04 11:59:24,Move medical modern family campaign rest.,0.0,Cleaned and Validated
alert122532,txn10022532,Unusual_Time,,True,,Will science represent century happy read weight.,,Cleaned and Validated
alert188762,txn10088762,Unusual_Time,,True,,Manage affect Mr town discussion.,,Cleaned and Validated
alert147033,txn10047033,Unusual_Time,2025-11-04 21:47:12,True,2025-11-04 21:47:12,Again baby activity to fast ago have.,0.0,Cleaned and Validated
alert171641,txn10071641,Suspicious_Login,,True,,Pattern similar enjoy too at fight.,,Cleaned and Validated
alert174985,txn10074985,Frequent_Failure,2025-11-04 22:48:36,True,2025-11-04 22:48:36,Animal sea carry crime certain by player but.,0.0,Cleaned and Validated
alert165963,txn10065963,Unusual_Amount,,True,,Hotel catch where would.,,Cleaned and Validated
alert106410,txn10006410,Suspicious_Login,2025-11-04 16:22:12,True,2025-11-04 16:22:12,Season spend save coach say staff card so.,0.0,Cleaned and Validated
alert194522,txn10094522,Unusual_Time,,True,,Adult law through wall fill start three.,,Cleaned and Validated
alert102101,txn10002101,Frequent_Failure,2025-11-04 18:48:00,True,2025-11-04 18:48:00,Serious know water use cold sea dark.,0.0,Cleaned and Validated
alert143210,txn10043210,Suspicious_Login,,True,,Understand lead at still understand.,,Cleaned and Validated
alert151441,txn10051441,Suspicious_Login,,True,,History hotel second result probably.,,Cleaned and Validated
alert111723,txn10011723,Suspicious_Login,2025-11-04 22:54:06,True,2025-11-04 22:54:06,Camera significant question hospital upon clearly seat.,0.0,Cleaned and Validated
alert176076,txn10076076,Frequent_Failure,,True,,Seek admit culture activity economic wrong position lead.,,Cleaned and Validated
alert167979,txn10067979,Unusual_Amount,2025-11-04 19:58:36,True,2025-11-04 19:58:36,Administration simply full cover.,0.0,Cleaned and Validated
alert160974,txn10060974,Suspicious_Login,2025-11-04 06:03:30,True,2025-11-04 06:03:30,Building western ever say.,0.0,Cleaned and Validated
alert189038,txn10089038,Unusual_Amount,2025-11-04 02:34:06,True,2025-11-04 02:34:06,Off during development involve situation bag.,0.0,Cleaned and Validated
alert147664,txn10047664,Frequent_Failure,,True,,Newspaper interview here owner go seven music.,,Cleaned and Validated
alert110968,txn10010968,Unusual_Time,,True,,Teacher determine figure account white dog pull.,,Cleaned and Validated
alert152067,txn10052067,Unusual_Time,2025-11-04 04:01:12,False,,Get open while dream.,,Cleaned and Validated
alert138742,txn10038742,Frequent_Failure,,True,,Loss fine interest state.,,Cleaned and Validated
alert171936,txn10071936,Unusual_Amount,,True,,Throw best these view field.,,Cleaned and Validated
alert162541,txn10062541,Frequent_Failure,,True,,Including meeting still.,,Cleaned and Validated
alert173696,txn10073696,Unusual_Amount,,True,,Court its paper prepare where.,,Cleaned and Validated
alert175802,txn10075802,Unusual_Time,2025-11-04 13:00:30,False,,Tv allow southern blood tell.,,Cleaned and Validated
